#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
B288HolyCNF8ST8,HolyFire,Lib3,288,CNF08STP8,CNF08,8S,TP8,6/26/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B289HolyCNF8WT8,HolyFire,Lib3,289,CNF08WTP8,CNF08,8W,TP8,6/26/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B290HolyCNF9NT8,HolyFire,Lib3,290,CNF09NTP8,CNF09,9N,TP8,6/26/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B291CNF9ET8,HolyFire,Lib4James,291,CNF09ETP8,CNF09,9E,TP8,6/26/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B292CNF9ST8,HolyFire,Lib4James,292,CNF09STP8,CNF09,9S,TP8,6/26/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B293CNF9WT8,HolyFire,Lib4James,293,CNF09WTP8,CNF09,9W,TP8,6/26/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B2HolyCNF5ET1,HolyFire,Lib1,2,CNF05ETP1,CNF05,5E,TP1,9/30/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B3HolyCNF5ST1,HolyFire,Lib1,3,CNF05STP1,CNF05,5S,TP1,9/30/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B4HolyCNF5WT1,HolyFire,Lib1,4,CNF05WTP1,CNF05,5W,TP1,9/30/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B58HolyCNF4NbT5,HolyFire,Lib3,58,CNF04NTP5,CNF04,4N,TP5,12/17/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Low,0.5,1260,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B59HolyCNF4EbT5,HolyFire,Lib3,59,CNF04ETP5,CNF04,4E,TP5,12/17/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,High,4.7,1260,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B5HolyCNF5NT2,HolyFire,Lib1,5,CNF05NTP2,CNF05,5N,TP2,10/8/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B60HolyCNF4SbT5,HolyFire,Lib3,60,CNF04STP5,CNF04,4S,TP5,12/17/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,2.5,1260,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B61HolyCNF4WbT5,HolyFire,Lib3,61,CNF04WTP5,CNF04,4W,TP5,12/17/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,3,1260,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B62HolyCNF3WbT5,HolyFire,Lib3,62,CNF03WTP5,CNF03,3W,TP5,12/17/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,2,1240,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B63HolyCNF3EbT5,HolyFire,Lib3,63,CNF03ETP5,CNF03,3E,TP5,12/17/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B64HolyCNF3SbT5,HolyFire,Lib3,64,CNF03STP5,CNF03,3S,TP5,12/17/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B65HolyCNF3NbT5,HolyFire,Lib3,65,CNF03NTP5,CNF03,3N,TP5,12/17/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,High,4.5,1240,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B66HolyCNF6NbT5,HolyFire,Lib3,66,CNF06NTP5,CNF06,6N,TP5,12/17/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B67HolyCNF6EbT5,HolyFire,Lib3,67,CNF06ETP5,CNF06,6E,TP5,12/17/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,11.75,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B68HolyCNF6SbT5,HolyFire,Lib3,68,CNF06STP5,CNF06,6S,TP5,12/17/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B69HolyCNF6WbT5,HolyFire,Lib3,69,CNF06WTP5,CNF06,6W,TP5,12/17/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B6HolyCNF5ET2,HolyFire,Lib3,6,CNF05ETP2,CNF05,5E,TP2,10/8/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B70HolyCNF7NbT5,HolyFire,Lib3,70,CNF07NTP5,CNF07,7N,TP5,12/17/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B71HolyCNF7SbT5,HolyFire,Lib3,71,CNF07STP5,CNF07,7S,TP5,12/17/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B72HolyCNF7WbT5,HolyFire,Lib3,72,CNF07WTP5,CNF07,7W,TP5,12/17/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B73HolyCNF7EbT5,HolyFire,Lib3,73,CNF07ETP5,CNF07,7E,TP5,12/17/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B75HolyCNF9NbT5,HolyFire,Lib3,75,CNF09NTP5,CNF09,9N,TP5,12/17/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B76HolyCNF9EbT5,HolyFire,Lib3,76,CNF09ETP5,CNF09,9E,TP5,12/17/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B77HolyCNF9SbT5,HolyFire,Lib3,77,CNF09STP5,CNF09,9S,TP5,12/17/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B78HolyCNF9WbT5,HolyFire,Lib3,78,CNF09WTP5,CNF09,9W,TP5,12/17/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B79HolyCNF8NbT5,HolyFire,Lib3,79,CNF08NTP5,CNF08,8N,TP5,12/17/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
