#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
BHoly6WT9,HolyFire,Lib4,319,CNF06WTP9,CNF06,6W,TP9,9/24/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly7ET9,HolyFire,Lib4,321,CNF07ETP9,CNF07,7E,TP9,9/24/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly7NT9,HolyFire,Lib4,320,CNF07NTP9,CNF07,7N,TP9,9/24/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly7ST9,HolyFire,Lib4,322,CNF07STP9,CNF07,7S,TP9,9/24/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly7WT9,HolyFire,Lib4,323,CNF07WTP9,CNF07,7W,TP9,9/24/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly8ET9,HolyFire,Lib4,325,CNF08ETP9,CNF08,8E,TP9,9/24/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly8NT9,HolyFire,Lib4,324,CNF08NTP9,CNF08,8N,TP9,9/24/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly8ST9,HolyFire,Lib4,326,CNF08STP9,CNF08,8S,TP9,9/24/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly8WT9,HolyFire,Lib4,327,CNF08WTP9,CNF08,8W,TP9,9/24/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly9ET9,HolyFire,Lib4,329,CNF09ETP9,CNF09,9E,TP9,9/24/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly9NT9,HolyFire,Lib4,328,CNF09NTP9,CNF09,9N,TP9,9/24/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly9ST9,HolyFire,Lib4,330,CNF09STP9,CNF09,9S,TP9,9/24/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly9WT9,HolyFire,Lib4,331,CNF09WTP9,CNF09,9W,TP9,9/24/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
