FungalSeqID,SiteId,SeqSampleNum,FireName,Library,Timepoint,Date,Latitude,Longitude,Elevation,Aspect,AspectDegrees,SampleType,SampleDepth,Plot,Subplot,Treatment,BAERsbs,AshSeverity,InitialAshDepth,TSFdays,TSFweeks,TSFmonths,AvgSolarRad,AvgWind,AvgAirTemp,AvgMeanFueTemp,AvgPerMeanHumid,TotPrecip,AvgPrecipitation
F104HolyCNF2ET4,CNF2ET4,104,Holy,Lib2,T4,11/19/18,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2E,Burned,Moderate,High,4,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F105HolyCNF2ST4,CNF2ST4,105,Holy,Lib2,T4,11/19/18,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2S,Burned,Moderate,High,6,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F106HolyCNF2WT4,CNF2WT4,106,Holy,Lib2,T4,11/19/18,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2W,Burned,Moderate,High,6,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F107HolyCNF3NT4,CNF3NT4,107,Holy,Lib2,T4,11/19/18,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3N,Burned,Moderate,High,4.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F108HolyCNF3ET4,CNF3ET4,108,Holy,Lib2,T4,11/19/18,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3E,Burned,Moderate,High,4,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F109HolyCNF3ST4,CNF3ST4,109,Holy,Lib2,T4,11/19/18,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3S,Burned,Moderate,Low,1.3,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F110HolyCNF3WT4,CNF3WT4,110,Holy,Lib2,T4,11/19/18,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3W,Burned,Moderate,Moderate,2,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F111HolyCNF4NT4,CNF4NT4,111,Holy,Lib2,T4,11/19/18,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4N,Burned,Moderate,Low,0.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F112HolyCNF4ET4,CNF4ET4,112,Holy,Lib2,T4,11/19/18,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4E,Burned,Moderate,High,4.7,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F113HolyCNF4ST4,CNF4ST4,113,Holy,Lib2,T4,11/19/18,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4S,Burned,Moderate,Moderate,2.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F114HolyCNF4WT4,CNF4WT4,114,Holy,Lib2,T4,11/19/18,33.68456097,-117.457109,1260,Southeast,120,Soil,10,CNF04,4W,Burned,Moderate,Moderate,3,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F115HolyCNF8NT4,CNF8NT4,115,Holy,Lib2,T4,11/19/18,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8N,Unburned,Unburned,Unburned,0,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F116HolyCNF8ET4,CNF8ET4,116,Holy,Lib2,T4,11/19/18,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8E,Unburned,Unburned,Unburned,0,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
