FungalSeqID,SiteId,SeqSampleNum,FireName,Library,Timepoint,Date,Latitude,Longitude,Elevation,Aspect,AspectDegrees,SampleType,SampleDepth,Plot,Subplot,Treatment,BAERsbs,AshSeverity,InitialAshDepth,TSFdays,TSFweeks,TSFmonths,AvgSolarRad,AvgWind,AvgAirTemp,AvgMeanFueTemp,AvgPerMeanHumid,TotPrecip,AvgPrecipitation
FHoly5ST9,CNF5ST9,313,Holy,Lib4,T9,9/24/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5S,Burned,Moderate,High,8.3,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly5WT9,CNF5WT9,315,Holy,Lib4,T9,9/24/19,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5W,Burned,Moderate,High,7.8,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly6ET9,CNF6ET9,317,Holy,Lib4,T9,9/24/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6E,Burned,Moderate,High,11.8,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly6NT9,CNF6NT9,316,Holy,Lib4,T9,9/24/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6N,Burned,Moderate,Moderate,1.9,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly6ST9,CNF6ST9,318,Holy,Lib4,T9,9/24/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6S,Burned,Moderate,High,5.5,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly6WT9,CNF6WT9,319,Holy,Lib4,T9,9/24/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6W,Burned,Moderate,Moderate,2,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly7ET9,CNF7ET9,321,Holy,Lib4,T9,9/24/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7E,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly7NT9,CNF7NT9,320,Holy,Lib4,T9,9/24/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7N,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly7ST9,CNF7ST9,322,Holy,Lib4,T9,9/24/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7S,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly7WT9,CNF7WT9,323,Holy,Lib4,T9,9/24/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7W,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly8ET9,CNF8ET9,325,Holy,Lib4,T9,9/24/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8E,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly8NT9,CNF8NT9,324,Holy,Lib4,T9,9/24/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8N,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly8ST9,CNF8ST9,326,Holy,Lib4,T9,9/24/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8S,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly8WT9,CNF8WT9,327,Holy,Lib4,T9,9/24/19,33.66813001,-117.45604,1250,Southwest,221,Soil,10,CNF08,8W,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly9ET9,CNF9ET9,329,Holy,Lib4,T9,9/24/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9E,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly9NT9,CNF9NT9,328,Holy,Lib4,T9,9/24/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9N,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly9ST9,CNF9ST9,330,Holy,Lib4,T9,9/24/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9S,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FHoly9WT9,CNF9WT9,331,Holy,Lib4,T9,9/24/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9W,Unburned,Unburned,Unburned,0,376,52,12,5.68,2.9,22.3,23.4,54,1,0.017857143
FCNF01WTP2,CNF1WT2,332,Holy,Lib4James,T2,10/8/18,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1W,Burned,Moderate,High,4,25,3,0.8,4.48,3.2,18.9,19,50,21,0.679677419
FCNF06WTP4,CNF6WT4,333,Holy,Lib4James,T4,11/19/18,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6W,Burned,Moderate,Moderate,2,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
FCNF09ETP8,CNF9ET8,291,Holy,Lib4James,T8,6/26/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9E,Unburned,Unburned,Unburned,0,286,39,9,7.46,2.9,19,22.4,72,2,0.075
FCNF09STP8,CNF9ST8,292,Holy,Lib4James,T8,6/26/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9S,Unburned,Unburned,Unburned,0,286,39,9,7.46,2.9,19,22.4,72,2,0.075
FCNF09WTP8,CNF9WT8,293,Holy,Lib4James,T8,6/26/19,33.66779901,-117.455492,1240,Southeast,-,Soil,10,CNF09,9W,Unburned,Unburned,Unburned,0,286,39,9,7.46,2.9,19,22.4,72,2,0.075
